,model,AIC,log_likelihood,concordance_index,aft_coefficients,aft_time_ratios
2,LogLogistic,3742.89,-1866.44,0.69,"{'Intercept': 0.04539736337967449, 'C(Temperature)[T.30]': -0.014367766177404947, 'C(Line)[T.1]': 0.06567545226282738, 'C(Line)[T.4]': 0.02069737726311029}","{'Intercept': 1.0464435956679767, 'C(Temperature)[T.30]': 0.9857349576160992, 'C(Line)[T.1]': 1.0678800828548831, 'C(Line)[T.4]': 1.020913053382597}"
1,LogNormal,5282.67,-2636.34,0.69,"{'Intercept': 0.10945073677698927, 'C(Temperature)[T.30]': -0.009162423042105563, 'C(Line)[T.1]': 0.18157113038802353, 'C(Line)[T.4]': 0.06741326709872707}","{'Intercept': 1.1156651083223046, 'C(Temperature)[T.30]': 0.9908794240514455, 'C(Line)[T.1]': 1.199099826112254, 'C(Line)[T.4]': 1.0697374741394516}"
0,Weibull,7503.77,-3746.89,0.69,"{'Intercept': 0.3332758933685873, 'C(Temperature)[T.30]': -0.008986695467796235, 'C(Line)[T.1]': 0.406284038895283, 'C(Line)[T.4]': 0.187658241668334}","{'Intercept': 1.395532263459856, 'C(Temperature)[T.30]': 0.991053564189231, 'C(Line)[T.1]': 1.501228899303735, 'C(Line)[T.4]': 1.2064211404111}"
