,model,AIC,log_likelihood,concordance_index,aft_coefficients,aft_time_ratios
2,LogLogistic,3550.08,-1766.04,0.69,"{'Intercept': 0.0713601807392663, 'C(Temperature)[T.30]': 0.009250601215652686, 'C(Generation)[T.5]': 0.007356169022907144, 'C(Generation)[T.9]': 0.10012461646158166, 'C(Line)[T.4]': -0.027811806248753856, 'C(Line)[T.4]:C(Generation)[T.5]': -0.017750269962893406, 'C(Line)[T.4]:C(Generation)[T.9]': 0.040790847009005385, 'C(Line)[T.4]:C(Temperature)[T.30]': -0.041600369776193385}","{'Intercept': 1.0739679787942493, 'C(Temperature)[T.30]': 1.0092935202673388, 'C(Generation)[T.5]': 1.007383292100779, 'C(Generation)[T.9]': 1.1053086491465023, 'C(Line)[T.4]': 0.9725713814362286, 'C(Line)[T.4]:C(Generation)[T.5]': 0.9824063380981871, 'C(Line)[T.4]:C(Generation)[T.9]': 1.0416342218477386, 'C(Line)[T.4]:C(Temperature)[T.30]': 0.9592530504955179}"
1,LogNormal,4819.97,-2400.99,0.69,"{'Intercept': 0.1721719267610114, 'C(Temperature)[T.30]': 0.050777496765056496, 'C(Generation)[T.5]': 0.03813369376278035, 'C(Generation)[T.9]': 0.22927801130816702, 'C(Line)[T.4]': -0.058002082022703176, 'C(Line)[T.4]:C(Generation)[T.5]': -0.08295443941496969, 'C(Line)[T.4]:C(Generation)[T.9]': 0.07918736916137072, 'C(Line)[T.4]:C(Temperature)[T.30]': -0.10752030737538737}","{'Intercept': 1.1878820443710738, 'C(Temperature)[T.30]': 1.052088774082349, 'C(Generation)[T.5]': 1.038870114049105, 'C(Generation)[T.9]': 1.2576916429095846, 'C(Line)[T.4]': 0.9436479827382294, 'C(Line)[T.4]:C(Generation)[T.5]': 0.9203930799120571, 'C(Line)[T.4]:C(Generation)[T.9]': 1.0824071127843424, 'C(Line)[T.4]:C(Temperature)[T.30]': 0.8980582850589119}"
0,Weibull,6660.25,-3321.12,0.69,"{'Intercept': 0.5028333642527271, 'C(Temperature)[T.30]': 0.05867672293028717, 'C(Generation)[T.5]': 0.13099970332988062, 'C(Generation)[T.9]': 0.4985604187168602, 'C(Line)[T.4]': -0.13114649133740072, 'C(Line)[T.4]:C(Generation)[T.5]': -0.3257286048533943, 'C(Line)[T.4]:C(Generation)[T.9]': 0.1980062875571618, 'C(Line)[T.4]:C(Temperature)[T.30]': -0.1866758677801823}","{'Intercept': 1.6533993227944308, 'C(Temperature)[T.30]': 1.0604323718525193, 'C(Generation)[T.5]': 1.1399674431176627, 'C(Generation)[T.9]': 1.6463495099984728, 'C(Line)[T.4]': 0.8770892789980421, 'C(Line)[T.4]:C(Generation)[T.5]': 0.7220011084411826, 'C(Line)[T.4]:C(Generation)[T.9]': 1.2189700581414669, 'C(Line)[T.4]:C(Temperature)[T.30]': 0.8297126294009832}"
